Machine_ID,Temperature,Vibration,Power_Consumption,Operating_Hours,Maintenance_Days,Failure
M007,74.4,2.12,3.51,2762,31,0
M006,79.0,2.44,4.02,2279,114,0
M006,68.6,4.33,3.57,2841,93,1
M006,61.6,3.71,4.13,3314,112,1
M003,63.3,4.1,3.96,2126,9,0
M006,63.4,3.04,3.37,816,15,0
M008,58.5,1.28,3.14,3844,94,0
M002,71.2,1.55,4.26,1403,26,0
M005,61.7,3.97,4.12,1959,10,1
M001,69.9,3.22,2.98,2765,29,0
M001,66.4,4.64,3.69,3374,118,1
M005,67.6,3.38,3.6,3281,80,1
M003,73.6,1.46,4.07,2830,36,0
M004,62.6,2.32,4.24,3361,84,1
M003,74.4,3.73,3.69,4521,109,1
M001,83.7,3.92,3.37,869,118,1
M001,71.4,4.11,3.99,3368,37,0
M005,60.2,1.64,3.99,2321,86,0
M006,61.8,1.44,3.44,4278,71,0
M003,65.5,2.75,3.39,4351,23,0
M009,62.1,4.87,3.4,919,41,0
M005,58.1,2.1,3.75,2800,104,0
M008,69.5,3.59,3.58,3798,93,1
M001,65.8,3.59,3.76,4869,80,0
M005,69.9,3.99,3.76,866,102,1
M003,79.9,5.16,3.97,483,28,1
M001,65.6,5.03,3.89,4103,48,1
M004,56.1,2.23,3.23,3765,38,0
M005,64.0,0.5,3.45,2434,31,0
M007,75.7,2.12,4.17,4793,14,0
M001,74.8,3.1,3.52,1665,117,0
M003,73.2,2.53,3.52,329,97,0
M002,61.8,5.56,3.1,4934,73,1
M009,75.5,3.02,4.18,2260,91,0
M010,77.8,3.85,3.91,3872,88,1
M006,61.0,3.28,3.07,2694,77,1
M010,67.6,2.55,3.99,1192,90,0
M003,88.2,0.5,4.01,2321,29,0
M008,60.6,2.9,3.21,2784,51,0
M008,50.9,7.23,3.2,4396,49,1
M002,81.8,1.38,4.56,2423,43,1
M006,79.4,0.64,3.85,4722,92,0
M007,63.4,5.52,3.79,3388,92,1
M002,66.9,3.96,3.93,3437,72,1
M010,55.8,3.24,3.55,4336,87,0
M002,68.9,4.77,4.17,4724,93,1
M010,79.7,1.92,3.75,543,5,0
M001,62.6,2.86,3.2,4661,42,0
M008,76.8,4.24,3.55,4904,7,0
M001,72.6,5.74,3.76,2476,42,1
M009,73.8,1.48,3.51,3401,36,0
M006,63.2,4.66,3.63,1088,105,1
M007,64.5,3.5,3.64,2243,27,0
M010,49.5,3.21,3.59,1541,58,0
M007,62.3,2.99,3.66,3920,46,0
M010,79.6,1.2,3.84,3083,66,0
M003,58.7,4.25,3.61,4412,25,0
M002,60.2,1.98,3.14,2615,73,0
M009,74.4,1.6,3.85,1317,117,0
M008,72.0,4.15,3.91,4463,27,1
M010,74.9,4.03,3.92,3201,1,0
M007,56.4,3.1,3.56,1938,87,0
M009,93.6,4.4,4.11,1564,74,1
M004,55.8,4.85,3.8,2908,42,0
M004,69.5,4.7,4.38,4990,52,1
M001,66.4,2.31,3.1,1124,25,0
M008,56.1,4.32,2.98,351,54,0
M003,64.3,3.28,3.62,785,67,1
M007,68.2,5.24,3.62,1112,6,1
M002,61.5,2.84,4.2,2521,58,0
M002,77.4,2.54,4.01,695,70,0
M007,66.4,2.2,4.15,3995,53,0
M006,54.6,3.25,2.65,2348,66,0
M003,53.7,3.61,3.63,756,58,0
M009,74.1,3.63,3.6,1752,82,1
M010,53.1,3.45,3.07,2320,87,0
M006,71.2,3.87,3.69,3285,2,0
M010,72.4,2.71,3.31,3704,76,0
M010,58.0,1.87,3.6,356,22,0
M006,76.9,1.75,3.99,934,37,0
M001,50.8,4.27,3.36,4854,20,0
M004,71.0,3.61,4.09,3476,103,1
M010,67.6,0.59,4.22,354,24,0
M006,66.8,4.43,3.54,1196,112,1
M006,56.2,5.44,3.57,2494,84,1
M005,58.6,2.07,3.57,4826,65,0
M001,84.2,3.44,4.24,3105,65,1
M008,80.2,2.38,4.14,1377,81,1
M005,75.4,3.82,4.44,353,1,0
M005,77.4,1.48,3.77,4387,117,0
M007,76.5,2.91,3.38,1916,116,1
M004,64.8,4.28,3.38,3402,109,1
M006,68.5,4.61,3.98,3057,94,1
M004,53.3,3.55,3.34,986,105,0
M003,67.1,2.56,3.51,4568,111,0
M007,79.8,0.93,3.62,4472,3,0
M008,61.4,2.02,3.61,3967,46,0
M004,78.2,2.39,4.18,3078,55,0
M002,68.9,2.09,3.83,842,75,0
M010,54.1,3.08,3.26,4862,88,1
M003,56.9,2.56,3.47,865,86,0
M001,77.2,3.22,3.98,3626,64,1
M008,73.5,4.56,3.9,3983,108,1
M003,69.0,2.47,3.31,3901,45,0
M010,65.3,1.2,3.7,1269,26,0
M007,70.1,2.09,3.6,2549,77,0
M010,76.8,3.76,4.28,4703,65,1
M005,82.8,3.88,4.12,1412,24,0
M010,83.2,3.53,4.37,1352,74,1
M005,71.7,4.69,3.69,2711,35,0
M007,66.3,2.76,3.56,343,24,0
M009,69.5,5.67,4.26,2689,28,1
M005,73.2,4.06,3.98,3428,100,1
M001,73.2,0.5,3.58,4782,80,0
M010,81.1,5.34,4.34,3405,104,1
M010,89.2,2.0,4.04,4443,16,0
M001,65.9,1.66,3.73,3342,59,0
M002,89.6,3.68,4.88,3504,81,1
M006,79.7,0.74,3.49,1557,115,0
M009,67.0,2.1,3.61,2913,54,0
M008,83.0,5.02,4.22,4385,79,1
M005,84.9,3.72,4.39,1557,16,0
M001,63.4,4.06,3.15,4494,15,0
M007,85.3,2.15,3.59,4833,98,1
M005,78.8,1.0,4.35,3392,11,0
M006,91.7,3.92,4.04,500,65,1
M007,63.8,4.21,3.33,923,79,0
M003,64.5,4.15,4.16,3210,90,0
M010,47.7,3.27,3.22,267,115,0
M003,73.7,1.74,3.87,4036,68,0
M005,71.8,6.17,3.73,4193,43,1
M006,62.4,3.62,3.13,2706,69,0
M009,67.2,2.77,3.92,1737,99,0
M005,54.9,2.78,3.52,597,13,0
M001,80.0,3.19,4.06,4915,10,0
M004,63.1,4.39,3.54,3557,75,1
M005,98.9,3.25,4.37,1363,82,1
M010,66.2,4.12,3.97,755,98,0
M010,60.4,3.2,3.46,3861,103,1
M005,63.9,2.85,3.58,1951,41,0
M007,53.9,3.83,3.53,3141,106,1
M004,72.8,3.78,3.89,2857,50,0
M001,63.8,2.78,4.17,2995,87,1
M005,79.3,2.03,3.37,2529,71,0
M007,65.3,3.44,3.74,2159,59,0
M010,81.8,3.1,3.8,1801,39,0
M010,75.6,2.28,3.56,2993,3,0
M006,68.3,1.9,3.55,1680,76,0
M005,83.8,3.53,4.11,1302,7,0
M004,77.5,3.72,3.97,3476,49,1
M002,97.5,2.53,3.91,1499,26,0
M004,63.9,2.25,3.41,4079,33,0
M010,68.8,1.92,3.82,1735,101,0
M010,83.7,3.5,3.79,277,48,0
M003,52.6,1.95,2.92,3031,79,0
M010,81.2,5.91,3.24,3610,2,0
M001,72.4,2.47,3.58,2921,105,0
M008,59.1,0.5,3.08,3827,71,0
M005,54.4,2.96,3.02,1732,32,0
M004,61.3,2.91,3.44,437,4,0
M008,45.2,4.45,2.92,2196,20,0
M007,63.1,3.37,3.17,3627,114,1
M002,74.2,1.92,3.11,477,117,0
M001,63.2,2.63,3.69,3289,36,0
M004,81.9,3.43,4.31,723,32,0
M008,84.6,0.5,3.98,4475,28,0
M002,80.8,4.74,3.93,4418,77,1
M003,70.3,1.92,3.76,3322,1,0
M001,45.0,4.84,3.68,4775,60,0
M001,61.0,3.51,2.98,1997,56,0
M003,66.6,3.82,3.52,2331,35,0
M005,59.1,4.49,2.87,1015,112,1
M003,66.6,3.75,3.79,2894,30,0
M001,84.1,3.87,4.05,642,54,1
M001,51.5,2.79,3.36,3340,36,0
M008,86.1,3.48,4.21,342,55,1
M010,76.8,2.24,4.27,4487,89,0
M002,70.7,2.55,3.96,1610,80,0
M003,60.9,5.55,3.81,4673,58,1
M002,59.3,1.95,3.11,734,83,0
M003,51.7,3.2,3.71,1916,65,0
M007,85.2,3.15,3.88,3564,69,1
M001,83.4,2.6,3.85,1232,51,0
M010,53.9,3.67,3.44,3542,22,0
M008,62.5,3.77,3.67,1610,88,1
M010,72.3,1.8,3.43,4700,107,1
M010,65.0,3.13,3.56,1372,109,0
M010,48.8,1.59,3.74,1088,116,0
M002,61.4,4.03,3.02,3538,101,0
M003,87.5,3.23,4.71,4717,53,1
M009,62.1,3.11,3.47,1841,100,1
M007,66.4,3.86,2.84,671,36,0
M004,56.5,2.64,2.93,3140,68,0
M010,73.9,4.19,3.51,746,36,0
M005,69.2,1.77,3.51,4926,52,0
M002,60.6,4.84,3.48,3797,53,0
M008,55.0,2.28,2.43,3025,82,0
M004,82.0,0.79,4.12,3923,50,0
M009,51.9,2.57,2.93,563,80,0
M005,73.0,2.43,4.31,2366,41,0
M009,46.5,2.56,3.07,3509,18,0
M004,75.1,3.3,4.21,745,22,0
M010,77.7,4.43,4.33,3440,66,0
M005,78.9,2.75,4.35,4929,21,0
M009,66.4,2.1,3.46,2136,100,1
M008,83.8,1.54,3.89,1162,44,0
M003,91.1,2.39,4.2,3205,103,1
M001,64.8,0.55,3.84,4006,47,0
M003,63.5,2.06,3.41,1082,39,0
M004,69.5,4.62,3.7,4040,29,1
M002,63.2,1.93,3.68,1070,54,0
M001,61.8,3.82,3.23,4811,90,1
M007,62.6,1.41,3.23,3185,85,0
M008,85.2,5.3,4.07,1065,17,0
M007,75.7,5.39,3.88,4509,80,1
M005,63.2,3.77,3.73,3403,60,0
M001,45.0,5.59,3.36,3097,31,0
M007,52.6,3.46,2.93,2444,115,0
M007,73.0,4.0,3.54,218,73,0
M009,46.8,4.64,2.83,841,95,0
M003,70.9,3.23,4.27,3283,78,0
M009,57.3,0.98,3.39,529,49,0
M001,68.9,4.03,3.73,1065,101,1
M001,68.6,2.39,3.74,973,2,0
M004,69.2,2.48,3.48,4687,116,1
M009,64.1,3.39,4.15,4932,48,0
M006,63.7,3.74,3.74,2554,110,0
M003,60.8,3.2,3.53,3538,14,0
M001,72.8,3.83,3.43,3718,59,1
M004,76.1,2.08,3.5,3142,97,1
M009,55.8,2.94,3.29,2767,99,0
M003,67.5,4.1,3.44,1874,58,0
M009,70.0,5.3,3.38,2883,103,1
M007,69.8,5.76,3.62,3580,58,1
M004,69.7,3.56,3.67,939,111,1
M003,64.0,4.09,3.65,1745,51,0
M010,70.8,5.58,3.59,4764,84,1
M005,74.2,2.13,3.5,2459,2,0
M005,69.4,3.82,3.39,1335,115,0
M003,73.1,4.0,4.25,1073,41,0
M009,77.9,4.88,3.51,4755,83,1
M004,49.5,1.52,3.36,2500,101,0
M005,77.4,1.78,4.12,951,82,0
M004,71.4,3.03,3.74,1053,16,0
M005,56.9,3.49,4.04,3932,4,0
M007,76.0,4.46,4.08,2483,12,0
M009,64.0,3.67,4.25,1529,29,0
M007,65.4,2.8,3.41,677,7,0
M005,62.9,3.54,3.35,2926,14,0
M010,71.0,3.39,3.96,3291,119,1
M010,60.1,5.27,3.41,4430,12,0
M007,77.0,3.22,4.51,4705,99,1
M010,66.6,2.5,3.78,1469,5,0
M005,64.4,3.58,3.24,4381,81,0
M003,75.5,3.26,3.28,2803,106,0
M007,64.8,0.96,3.59,1669,32,0
M002,77.5,2.98,3.91,577,74,0
M009,77.8,2.87,4.05,1880,43,0
M010,54.7,2.29,3.79,441,81,1
M010,79.1,4.35,4.36,1119,69,1
M001,53.4,1.98,3.13,269,45,0
M006,79.7,3.59,3.54,4124,106,1
M007,88.3,2.81,3.78,2286,9,0
M008,76.7,3.14,3.66,2207,49,1
M010,46.4,3.54,3.03,1000,33,0
M009,78.6,1.3,4.07,2979,100,0
M002,90.5,3.25,3.98,955,100,1
M010,65.0,5.98,3.72,2195,18,0
M002,67.7,0.98,3.82,1521,9,0
M005,56.1,2.93,3.45,2530,62,0
M005,71.1,4.46,3.38,309,57,1
M006,80.7,3.39,4.18,1216,29,0
M003,75.0,3.89,4.6,4065,114,1
M008,99.4,0.5,4.57,224,78,1
M001,68.3,3.78,2.67,3038,25,0
M006,51.7,2.01,3.73,937,15,0
M004,69.7,3.4,3.5,379,6,0
M001,45.0,2.96,3.92,431,120,0
M007,62.7,5.96,3.61,2117,42,1
M009,84.2,3.71,3.52,542,29,0
M004,71.3,2.85,3.06,4772,79,0
M004,69.8,1.04,4.28,2823,93,0
M006,86.2,3.16,4.54,654,4,0
M003,65.3,4.07,4.41,4584,82,1
M006,80.6,2.9,4.02,4825,114,1
M007,69.3,2.34,3.71,2476,57,0
M010,71.8,2.26,3.66,795,49,0
M010,55.8,3.7,3.16,4074,44,0
M003,63.2,3.99,3.44,4730,103,1
M007,54.0,4.77,3.43,4697,80,0
M003,67.0,1.71,3.38,2869,75,0
M002,71.9,3.68,3.21,2335,14,1
M010,56.9,2.84,3.48,4164,3,0
M004,88.5,2.88,3.91,1765,115,1
M008,70.8,3.52,2.64,508,114,0
M009,68.6,3.53,3.91,542,62,0
M007,75.7,3.69,3.5,635,106,0
M001,59.7,1.63,3.72,376,64,0
M003,69.6,2.03,3.96,338,102,0
M009,60.8,4.93,3.62,393,45,0
M001,83.6,2.71,4.96,3457,106,1
M009,57.4,3.4,3.39,3435,82,0
M008,68.6,4.37,3.62,1142,58,0
M001,71.3,3.6,4.02,4820,20,0
M006,71.9,3.71,3.78,4079,58,0
M005,62.2,4.16,3.96,3313,112,0
M006,59.0,0.5,3.03,3162,89,0
M010,62.3,2.36,3.12,1153,57,0
M005,73.3,3.61,4.1,1502,102,1
M006,66.6,4.8,3.26,3581,77,0
M005,76.0,3.09,4.11,3080,68,1
M005,72.8,1.9,3.95,2387,119,1
M004,45.2,1.94,2.89,745,78,0
M003,70.5,4.15,3.89,2127,97,1
M003,90.5,2.72,3.83,4352,92,1
M004,81.3,2.99,3.68,204,52,0
M009,72.2,3.8,3.72,3681,37,0
M002,57.4,0.5,3.46,3453,8,0
M009,72.8,5.6,3.71,1562,44,1
M001,75.4,2.05,4.04,2020,98,0
M001,65.5,3.31,3.77,2863,108,1
M005,71.2,0.78,4.32,3138,5,0
M006,83.1,2.45,4.04,1473,118,1
M006,59.4,4.62,3.9,3526,69,0
M003,57.4,0.51,3.76,3859,31,0
M007,74.9,4.46,4.68,3145,45,1
M009,72.6,2.64,3.77,3218,9,0
M010,78.3,3.63,3.81,1331,106,1
M008,73.7,3.85,4.28,4963,32,1
M006,62.3,3.57,3.69,2836,33,0
M008,72.3,1.88,4.26,3229,67,0
M005,56.6,2.53,3.67,3219,30,0
M008,65.5,1.1,2.9,4577,114,0
M010,73.0,3.64,3.96,3359,76,1
M004,64.4,5.21,3.72,453,29,0
M010,92.7,0.63,4.36,528,3,0
M008,49.1,2.01,3.18,2791,90,0
M010,62.5,2.76,3.01,3030,57,0
M002,58.6,3.23,3.77,3244,30,0
M005,61.0,4.14,3.66,1620,9,0
M009,61.6,2.8,3.93,3601,26,0
M004,54.7,2.59,2.83,3092,2,0
M006,75.5,4.43,4.06,854,62,1
M001,62.5,3.86,3.48,959,3,0
M009,69.6,3.7,3.79,1998,46,0
M001,63.7,3.15,3.51,3171,68,0
M005,61.1,4.28,3.72,4711,25,0
M004,84.7,2.15,4.06,3626,51,1
M003,77.2,1.97,3.56,454,13,0
M006,49.3,3.97,3.26,4023,103,1
M002,48.3,0.89,3.13,2076,44,0
M003,78.4,3.12,3.93,2957,35,0
M005,62.8,2.59,2.45,2824,55,0
M009,51.5,1.17,3.53,4321,87,0
M002,78.5,1.79,3.85,3204,9,0
M010,69.7,2.86,3.27,4716,2,0
M008,70.5,4.34,4.09,3934,61,0
M002,76.1,2.15,4.13,1444,118,0
